day;avg_size;avg_speed;avg_senserange;n_creatures
462;1017;1131;991;40
463;1018;1133;991;37
464;1018;1133;991;34
465;1018;1133;990;35
466;1017;1134;989;41
467;1017;1134;988;38
468;1018;1134;987;38
469;1017;1134;986;38
470;1016;1133;986;39
471;1016;1134;988;39
472;1015;1134;988;43
473;1015;1134;991;42
474;1014;1134;991;41
475;1012;1135;994;38
476;1012;1135;992;39
477;1011;1135;992;43
478;1011;1136;989;42
479;1011;1136;988;28
480;1011;1137;988;32
481;1010;1136;987;39
482;1010;1137;983;39
483;1011;1136;981;39
484;1011;1136;981;40
485;1012;1137;981;42
486;1013;1137;981;38
487;1013;1137;981;39
488;1013;1136;980;39
489;1012;1136;982;43
490;1012;1136;982;43
491;1011;1135;982;38
492;1010;1135;985;38
493;1010;1134;986;42
494;1009;1134;986;42
495;1010;1134;984;37
496;1010;1135;983;41
497;1010;1134;982;36
498;1010;1134;982;39
499;1010;1134;979;37
500;1010;1133;978;36
501;1010;1135;978;37
502;1011;1135;978;43
503;1012;1136;977;39
504;1012;1139;975;40
505;1013;1140;975;41
506;1014;1139;974;39
507;1013;1139;975;37
508;1012;1139;976;40
509;1011;1141;976;39
510;1011;1141;975;34
511;1011;1140;975;34
512;1012;1141;976;37
513;1011;1141;974;35
514;1012;1143;974;35
515;1013;1141;973;32
516;1013;1140;971;31
517;1011;1140;969;32
518;1010;1139;969;30
519;1011;1139;970;32
520;1012;1139;969;31
521;1013;1139;971;34
522;1012;1138;972;30
523;1012;1138;971;37
524;1012;1137;970;35
525;1012;1135;968;36
526;1012;1133;968;39
527;1013;1134;968;38
528;1012;1135;969;36
529;1012;1134;970;35
530;1012;1134;970;38
531;1011;1135;971;37
532;1009;1136;968;37
533;1010;1136;967;37
534;1011;1135;966;33
535;1011;1135;965;39
536;1012;1135;965;37
537;1013;1134;966;35
538;1012;1134;967;32
539;1013;1134;969;35
540;1013;1135;971;39
541;1014;1133;975;39
542;1013;1132;976;38
543;1014;1132;980;43
544;1014;1133;979;38
545;1014;1133;976;40
546;1014;1134;976;38
547;1014;1133;976;39
548;1015;1133;974;38
549;1014;1132;973;41
550;1014;1131;979;39
551;1014;1130;977;38
552;1014;1130;978;37
553;1014;1130;979;40
554;1014;1132;986;42
555;1014;1132;987;38
556;1014;1132;990;37
557;1013;1132;990;37
558;1012;1133;995;39
559;1011;1130;997;39
560;1011;1131;994;38
561;1011;1132;995;42
562;1012;1132;993;45
563;1012;1133;992;44
564;1011;1134;992;40
565;1012;1135;993;42
566;1012;1133;993;41
567;1012;1132;993;43
568;1012;1132;991;42
569;1011;1132;991;41
570;1010;1133;990;43
571;1009;1133;988;37
572;1010;1131;988;37
573;1011;1130;988;39
574;1010;1131;987;38
575;1010;1130;983;39
576;1010;1130;981;42
577;1010;1131;980;39
578;1010;1131;976;39
579;1009;1131;975;42
580;1009;1133;977;42
581;1009;1133;980;38
