"day;avg_size;avg_speed;avg_senserange;dominant_size;dominant_speed;dominant_sense;n_creatures"
"287;1535;1113;568;999;0;999;26"
"288;1536;1113;569;999;0;999;26"
"289;1535;1115;570;1000;0;1000;32"
"290;1535;1118;569;999;0;999;29"
"291;1533;1120;568;999;0;999;23"
"292;1532;1120;570;999;0;999;26"
"293;1529;1120;568;999;0;999;26"
"294;1529;1121;566;999;0;999;27"
"295;1528;1121;565;999;0;999;29"
"296;1529;1124;564;999;0;999;28"
"297;1531;1125;561;1000;0;1000;25"
"298;1530;1127;558;999;0;999;23"
"299;1530;1129;555;1000;0;1000;25"
"300;1532;1129;553;999;0;999;23"
"301;1530;1132;554;999;0;999;26"
"302;1532;1136;555;999;0;999;26"
"303;1530;1137;553;999;0;999;26"
"304;1529;1136;552;999;0;999;30"
"305;1534;1140;552;999;0;999;30"
"306;1536;1143;554;999;0;999;27"
"307;1533;1141;553;999;0;999;23"
"308;1533;1142;551;1000;0;1000;25"
"309;1528;1139;552;1000;0;1000;20"
"310;1524;1141;550;1000;0;1000;20"
"311;1522;1142;547;1000;0;1000;21"
"312;1523;1142;549;1000;0;1000;25"
"313;1521;1144;551;999;0;999;28"
"314;1518;1148;551;999;0;999;27"
"315;1518;1144;552;999;0;999;27"
"316;1521;1142;551;999;0;999;23"
"317;1521;1143;551;999;0;999;24"
"318;1525;1142;552;999;0;999;27"
"319;1527;1144;553;999;0;999;24"
"320;1528;1144;553;1000;0;1000;21"
"321;1532;1145;553;999;0;999;24"
"322;1533;1142;555;999;0;999;26"
"323;1537;1144;556;999;0;999;23"
"324;1538;1146;552;999;0;999;23"
"325;1541;1145;550;999;0;999;26"
"326;1545;1142;552;999;0;999;26"
"327;1548;1143;556;1000;0;1000;21"
"328;1552;1142;558;1000;0;1000;25"
"329;1549;1140;562;1000;0;1000;21"
"330;1551;1141;564;999;0;999;23"
"331;1546;1142;564;1000;0;1000;25"
"332;1545;1143;561;1000;0;1000;25"
"333;1541;1143;561;999;0;999;24"
"334;1544;1143;559;1000;0;1000;25"
"335;1549;1141;560;999;0;999;26"
"336;1555;1140;561;999;0;999;26"
"337;1548;1137;561;999;0;999;27"
"338;1548;1140;559;999;0;999;22"
"339;1542;1140;559;999;0;999;24"
"340;1538;1138;559;1000;0;1000;25"
"341;1538;1141;559;999;0;999;26"
"342;1536;1145;554;1000;0;1000;25"
"343;1532;1146;555;999;0;999;26"
"344;1534;1145;555;999;0;999;29"
"345;1536;1147;554;999;0;999;22"
"346;1535;1147;553;999;0;999;23"
"347;1539;1147;551;999;0;999;27"
"348;1538;1148;551;1000;0;1000;25"
"349;1537;1147;551;999;0;999;26"
"350;1537;1146;553;999;0;999;23"
"351;1538;1146;554;1000;0;1000;25"
"352;1537;1147;557;999;0;999;24"
"353;1541;1149;563;1000;0;1000;25"
"354;1546;1158;567;1000;0;1000;20"
"355;1545;1158;567;1000;0;1000;17"
"356;1539;1157;569;999;0;999;23"
"357;1536;1156;571;1000;0;1000;25"
"358;1538;1156;573;999;0;999;23"
"359;1534;1157;572;999;0;999;27"
"360;1536;1156;574;999;0;999;26"
"361;1536;1156;577;1000;0;1000;20"
"362;1533;1156;578;1000;0;1000;20"
"363;1533;1158;573;999;0;999;23"
"364;1535;1157;578;999;0;999;22"
"365;1539;1157;574;999;0;999;22"
"366;1543;1157;573;999;0;999;26"
"367;1541;1155;574;999;0;999;26"
"368;1540;1156;577;1000;0;1000;25"
"369;1539;1155;582;999;0;999;22"
"370;1539;1154;580;999;0;999;24"
"371;1541;1158;584;999;0;999;24"
"372;1541;1161;581;1000;0;1000;25"
"373;1543;1160;577;999;0;999;24"
"374;1546;1162;579;1000;0;1000;25"
"375;1546;1162;576;999;0;999;23"
"376;1545;1160;573;1000;0;1000;20"
"377;1542;1161;579;999;0;999;19"
"378;1545;1163;572;999;0;999;23"
"379;1544;1160;568;999;0;999;23"
"380;1547;1159;570;999;0;999;22"
"381;1551;1157;577;999;0;999;24"
"382;1552;1149;577;999;0;999;22"
"383;1550;1151;575;999;0;999;23"
"384;1550;1153;577;999;0;999;23"
"385;1553;1152;575;999;0;999;24"
"386;1554;1152;581;999;0;999;22"
"387;1551;1153;580;1000;0;1000;25"
"388;1552;1157;585;1000;0;1000;25"
"389;1550;1157;591;999;0;999;27"
"390;1549;1158;588;999;0;999;22"
"391;1546;1158;589;1000;0;1000;25"
"392;1546;1156;588;1000;0;1000;21"
"393;1544;1156;586;999;0;999;22"
"394;1544;1158;585;999;0;999;22"
"395;1543;1157;585;999;0;999;23"
"396;1546;1154;583;1000;0;1000;25"
"397;1542;1155;585;999;0;999;24"
"398;1547;1150;590;999;0;999;22"
"399;1549;1150;596;999;0;999;24"
"400;1549;1149;595;1000;0;1000;25"
"401;1546;1156;594;999;0;999;26"
"402;1551;1151;590;1000;0;1000;25"
"403;1556;1149;588;999;0;999;23"
"404;1554;1147;585;999;0;999;22"
"405;1557;1142;582;999;0;999;22"
"406;1561;1140;582;1000;0;1000;21"
"407;1562;1146;578;999;0;999;22"
"408;1564;1147;574;999;0;999;23"
"409;1571;1150;577;999;0;999;23"
"410;1567;1140;582;1000;0;1000;21"
"411;1570;1139;586;999;0;999;24"
"412;1570;1134;587;1000;0;1000;25"
"413;1568;1133;589;999;0;999;26"
"414;1569;1134;590;999;0;999;28"
"415;1567;1142;587;1000;0;1000;25"
"416;1561;1144;586;999;0;999;24"
"417;1563;1147;584;999;0;999;22"
"418;1564;1138;584;999;0;999;24"
"419;1565;1135;585;1000;0;1000;25"
